OBJECTID,COD_SIG_ESTACIONAMENTO,MORADA,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,DATA_INSTALACAO,x,y
16497,2096,"Rua de Diogo Cão, 6",Alcântara,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023229.6075583,4679000.9524380
16498,2097,Rua Rui de Pina,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023275.6413820,4679474.5889108
16499,2098,"Largo do Rio Seco, 13",Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023189.9758748,4679358.2431949
16500,2099,Rua Eduardo Bairrada,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023427.4010787,4679826.5953413
16501,2146,"Avenida Carlos Pinhão, 8",Beato,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,09/06/2023,-1015627.3706052,4684560.1969044
16502,2432,"Avenida da Liberdade, 190B",Santo António,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,7,14,Não,Público,Partilhado com Micromobilidade,31/12/2023,-1018071.2428960,4681745.8066185
16503,2100,"Rua do Cruzeiro, 75",Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023162.7682055,4679758.1982754
16504,2101,"Rua do Casalinho da Ajuda, Escola",Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023364.8619666,4680128.3565836
16505,2102,Rua Sá Nogueira,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023614.5121038,4680709.6984520
16506,2103,Rua das Açucenas,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024500.0740610,4680167.9162442
16507,2104,Rua da Guarda Nacional Republicana,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024516.5095364,4680242.2610015
16508,2105,"Rua dos Marcos, Escola",Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024316.8936940,4680547.2210351
16509,2106,Largo Ocidental,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1025171.7205267,4680556.8201681
16510,2107,Calçada da Memória,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024368.8489358,4679271.1496986
16511,2108,Largo da Paz,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1024188.1080791,4679420.6629531
16512,2109,Avenida da Universidade Técnica,Ajuda,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,17/04/2023,-1023871.3316053,4680780.8948273
16513,2110,Avenida do Colégio Militar,Carnide,Via,BICIPARQUE,Estacionamento Dois Níveis,0,0,Sim,Privado,Interdito Micromobilidade,,-1022902.4817350,4686616.7694669
16514,2111,Rua A do PUAL,Lumiar,Passeio,BICICLETA,Sheffield standard,4,8,Sim,Privado,Interdito Micromobilidade,,-1019487.5822914,4689700.6117155
16515,2112,Rua A do PUAL,Lumiar,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,,-1019494.6649219,4689689.8970567
16516,2113,Rua A do PUAL,Lumiar,Passeio,BICICLETA,Sheffield standard,4,8,Não,Privado,Interdito Micromobilidade,,-1019503.4325721,4689678.3127284
16517,2114,Rua A do PUAL,Lumiar,Passeio,BICICLETA,Sheffield standard,4,8,Sim,Privado,Interdito Micromobilidade,,-1019511.3528110,4689666.7379428
16518,2115,Rua Marques da Silva,Arroios,Passeio,BICICLETA,Desconhecido,0,0,Não,Privado,Interdito Micromobilidade,14/07/2023,-1016762.5868861,4683022.5446742
16519,2116,Rua Cidade de Cardiff,Penha de França,Passeio,BICICLETA,Desconhecido,0,0,Não,Privado,Interdito Micromobilidade,14/07/2023,-1016650.7991717,4682909.0905368
16520,2117,"Largo de São Julião, 15",Santa Maria Maior,Lugar estacionamento motociclo,HOTSPOT,Desconhecido,0,20,Não,Público,Dedicado Micromobilidade,19/07/2023,-1017365.9524575,4680041.2937961
16521,2118,"Travessa do Pregoeiro, 26B",Carnide,Passeio,BICICLETA,Sheffield standard,4,8,Não,Público,Partilhado com Micromobilidade,,-1022734.8467850,4687493.4919224
16522,2119,Alameda Cardeal Cerejeira,Avenidas Novas,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,09/06/2023,-1019325.9966055,4682979.6233725
16523,2120,Alameda Cardeal Cerejeira,Avenidas Novas,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,09/06/2023,-1019022.1418639,4683170.3885830
16524,2161,Rua Dr. Manuel Espírito Santo,Beato,Passeio,HOTSPOT,Desconhecido,0,10,Não,Público,Dedicado Micromobilidade,09/07/2023,-1014714.2608174,4683694.8502953
