objectid,cod_sig,morada,freguesia,localizacao,tipo_estacionamento,modelo,num_suportes,capacidade,coberto,dominialidade,estado,data_instalacao,lon,lat
18241,154,Praça Afonso de Albuquerque,Belém,Passeio,BICICLETA,Entorta rodas,1,10,0,Público,Partilhado com Micromobilidade,,-9.1994099,38.6971789
18242,200,"Rua Duarte Pacheco Pereira, 11D",Belém,Passeio,BICICLETA,Grelha,1,5,0,Público,Partilhado com Micromobilidade,,-9.2182345,38.6986424
18243,202,Avenida da Torre de Belém,Belém,Passeio,BICICLETA,Entorta rodas,1,6,0,Público,Partilhado com Micromobilidade,,-9.2152271,38.6953276
18244,211,"Rua Vieira Portuense, 92",Belém,Passeio,BICICLETA,Sheffield estreito,5,10,0,Público,Interdito Micromobilidade,,-9.2034251,38.6968389
18245,238,Rua Dom Jerónimo Osório,Belém,Passeio,BICICLETA,Sheffield estreito,3,6,0,Público,Partilhado com Micromobilidade,,-9.2243782,38.6989258
18246,240,Avenida de Brasília,Belém,Via,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,17/06/2018,-9.2188476,38.6935089
18247,249,Avenida de Brasília,Belém,Via,BICICLETA,Sheffield standard,5,10,0,Público,Partilhado com Micromobilidade,28/01/2018,-9.2062879,38.6944312
18248,250,"Avenida da Índia, Museu",Belém,Passeio,BICICLETA,Grelha,3,15,0,Privado,Interdito Micromobilidade,,-9.1974915,38.6969613
18249,311,"Rua Damião de Gois, 3D",Belém,Via,HOTSPOT,Desconhecido,0,10,0,Público,Dedicado Micromobilidade,20/02/2019,-9.2253595,38.6981034
18250,495,"Rua da Junqueira, 188",Belém,Passeio,BICICLETA,Entorta rodas,1,9,0,Público,Partilhado com Micromobilidade,,-9.1915812,38.6979477
18251,501,Avenida de Brasília,Belém,Passeio,BICICLETA,Entorta rodas,3,15,0,Público,Partilhado com Micromobilidade,,-9.1944734,38.6955630
18252,1226,"Rua Conselheiro Martins de Carvalho, 1",Belém,Passeio,BICICLETA,Sheffield estreito,2,4,0,Público,Partilhado com Micromobilidade,,-9.2026977,38.7069323
18253,1261,"Rua Gonçalves Zarco, Escola",Belém,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,3,6,0,Público,Partilhado com Micromobilidade,14/12/2020,-9.2052065,38.7051697
18254,1395,"Avenida de Brasília, Fundação Champalimaud",Belém,Via,BICICLETA,Entorta rodas,5,31,1,Privado,Interdito Micromobilidade,,-9.2211888,38.6933391
18255,1379,"Rua Duarte Pacheco Pereira, 26",Belém,Passeio,BICICLETA,Grelha,1,5,0,Público,Partilhado com Micromobilidade,,-9.2187685,38.6979627
