OBJECTID,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESP,FREGUESIA,COMPRIMENTO,COMP_KM
147391,0152,Parque da Bela Vista - Parque hortícola de Chelas,Parque da Bela Vista - Parque hortícola de Chelas,Complementar,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Marvila,221.19,0.22119393
147395,0046,Rua das Musas,Alameda dos Oceanos Sul,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,26.32,0.02631853
147404,0050,Rotunda dos Vice-reis,Alameda dos Oceanos Norte,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,188.89000000000001,0.18888507000000002
147406,0160,Parque Florestal de Monsanto - Parque Quinta da Granja,T01 - Parque Florestal de Monsanto - Parque da Quinta da Granja,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML/DMEVAE,São Domingos de Benfica,16.03,0.0160268
147408,0487,Rua Coelho da Rocha,Bairros 30+Bici - Bairro de Campo de Ourique,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campo de Ourique,15.790000000000001,0.01578743
147409,0487,Travessa de Cima dos Quartéis,Bairros 30+Bici - Bairro de Campo de Ourique,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campo de Ourique,14.4,0.014401500000000001
147410,0140,Rua Sem Nome à Rua Sampaio Bruno,Bairro de Campo de Ourique - 1ª fase,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,132.37,0.13236829
147411,0140,Rua Sampaio Bruno,Bairro de Campo de Ourique - 1ª fase,Local,Pista Ciclável Unidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,EMEL,Campo de Ourique,16.46,0.01645891
147412,0140,Rua Sampaio Bruno,Bairro de Campo de Ourique - 1ª fase,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,EMEL,Campo de Ourique,15.51,0.015511780000000001
147413,0487,Rua de Infantaria 16,Bairros 30+Bici - Bairro de Campo de Ourique,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campo de Ourique,83.85000000000001,0.08384763
