objectid,cod_ciclovia,designacao,nome_projeto,hierarquia,tipologia,nivel_segregacao,tipo_intervencao,situacao,ano,entidade_resp,freguesia,comprimento_m,comp_km
148522,0080,Rua Carlos Gil,Marvila-OR14 - Bairro dos Alfinetes,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,SRU,Marvila,72.19,0.07219
148523,0080,Rua Carlos Gil,Marvila-OR14 - Bairro dos Alfinetes,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,SRU,Marvila,73.88,0.07388
148527,0046,Alameda dos Oceanos,Alameda dos Oceanos Sul,Local,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,6.68,0.00668
148537,0152,Parque de Vale de Chelas - Parque da Bela Vista,T07 - Parque de Vale de Chelas - Parque da Bela Vista,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2012,CML/DMEVAE,Marvila,991.3100000000001,0.99131
148539,0153,Ponte ciclopedonal sobre o Campo Grande - Faculdade de Ciências - Jardim do Campo Grande,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alvalade,184.07,0.18407
148542,0651,Avenida António Serpa,Planalto - Avenida António Serpa,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT,Avenidas Novas,148.26,0.14826
148548,0140,Rua Fernando Assis Pacheco,Bairro de Campo de Ourique - 1ª fase,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,94.01,0.09401
148552,0046,Alameda dos Oceanos,Alameda dos Oceanos Sul,Local,Faixa Ciclável,Faixa ciclável (separação visual),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,15.01,0.01501
148553,0055,Corredor Verde Periférico - Ligação Ponte/Vale da Ameixoeira e Praça,Corredor Verde Periférico - Ligação Ponte/Vale da Ameixoeira e Praça,Complementar,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Lumiar,133.79,0.13379
148561,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,7.71,0.00771
148562,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,21.53,0.02153
148563,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,12.77,0.01277
148564,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,37.93,0.03793
148565,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,4.1,0.0041
148571,0140,Rua Coelho da Rocha,Bairro de Campo de Ourique - 1ª fase,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,111.33,0.11133
148576,0087,Rua Professor Lima Basto,Rua Professor Lima Basto,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMM; EMEL,São Domingos de Benfica,714.51,0.71451
148577,0459,Avenida Cinco de Outubro,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,217.89000000000001,0.21789
148602,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,20.580000000000002,0.02058
148606,0281,Parque Quinta da Granja,Quinta da Granja Sul - Quinta da Granja Norte,Local,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,Sem dados,CML,Benfica,635.27,0.63527
148615,0043,Tapada da Ajuda,Tapada da Ajuda,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,ISA; CML/DMAEVCE,Alcântara,338.92,0.33892
148616,0043,Tapada da Ajuda,Tapada da Ajuda,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,ISA; CML/DMAEVCE,Ajuda,0.16,0.00016
148617,0043,Tapada da Ajuda,Tapada da Ajuda,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,ISA; CML/DMAEVCE,Ajuda,0.18,0.00018
